Dystans (m),Wysokość (m)
0,520.2825927734375
4.8504258636484066,520.33251953125
9.700851727296813,520.3854370117188
14.551277590945219,520.4502563476562
19.401703454593626,520.5247192382812
24.252129318242034,520.6002807617188
29.102555181890438,520.6768798828125
33.95298104553885,520.7664184570312
38.80340690918725,520.857177734375
43.653832772835656,520.9459838867188
48.50425863648407,521.0354614257812
53.35468450013247,521.2860107421875
58.205110363780875,521.6792602539062
63.055536227429286,522.1785888671875
67.9059620910777,522.7831420898438
72.7563879547261,523.4303588867188
77.6068138183745,524.0941162109375
82.45723968202292,524.7742919921875
87.30766554567131,525.8700561523438
92.15809140931972,527.118408203125
97.00851727296813,528.3077392578125
101.85894313661653,529.4379272460938
106.70936900026494,530.0950927734375
111.55979486391335,530.6526489257812
116.41022072756175,531.1309814453125
121.26064659121016,531.43115234375
126.11107245485857,531.5987548828125
130.96149831850698,531.7772216796875
135.8119241821554,531.9666137695312
140.66235004580378,533.4307861328125
145.5127759094522,536.185546875
150.3632017731006,539.10986328125
155.213627636749,542.2037963867188
160.06405350039742,546.935546875
164.91447936404583,552.171630859375
169.76490522769424,557.5579223632812
174.61533109134263,563.1102905273438
179.46575695499104,568.91357421875
184.31618281863945,574.7896118164062
189.16660868228786,580.8359985351562
194.01703454593627,586.7685546875
198.86746040958468,592.55908203125
203.71788627323306,598.394775390625
208.56831213688147,604.2756958007812
213.41873800052988,610.244140625
218.2691638641783,616.2544555664062
223.1195897278267,622.2798461914062
227.97001559147512,628.3202514648438
232.8204414551235,633.6342163085938
237.6708673187719,638.7717895507812
242.52129318242032,643.771240234375
247.37171904606873,648.490966796875
252.22214490971714,652.2125854492188
257.07257077336556,655.1732788085938
261.92299663701397,658.0956420898438
266.7734225006624,660.8564453125
271.6238483643108,663.4650268554688
276.4742742279592,666.0377197265625
281.32470009160755,668.5745239257812
286.17512595525596,671.4368286132812
291.0255518189044,674.3668212890625
295.8759776825528,677.2760009765625
300.7264035462012,680.197265625
305.5768294098496,683.46533203125
310.427255273498,686.7348022460938
315.27768113714643,690.0056762695312
320.12810700079484,693.335693359375
324.97853286444325,696.7377319335938
329.82895872809166,700.13427734375
334.6793845917401,703.5253295898438
339.5298104553885,706.9218139648438
344.38023631903684,710.3054809570312
349.23066218268525,713.6678466796875
354.08108804633366,717.0089111328125
358.9315139099821,720.6764526367188
363.7819397736305,724.334228515625
368.6323656372789,727.95947265625
373.4827915009273,731.5107421875
378.3332173645757,734.8938598632812
383.1836432282241,738.25732421875
388.03406909187254,741.5254516601562
392.88449495552095,744.0048828125
397.73492081916936,745.7838745117188
402.5853466828178,747.5953369140625
407.4357725464661,749.4392700195312
412.28619841011454,750.2918090820312
417.13662427376295,750.84375
421.98705013741136,751.3529663085938
426.83747600105977,751.8189697265625
431.6879018647082,752.2575073242188
436.5383277283566,752.6947631835938
441.388753592005,753.1307983398438
446.2391794556534,753.6411743164062
451.0896053193018,754.3101196289062
455.94003118295024,754.8748779296875
460.79045704659865,755.4260864257812
465.640882910247,755.8314208984375
470.4913087738954,756.2769775390625
475.3417346375438,756.8633422851562
480.19216050119223,757.5905151367188
485.04258636484064,759.0804443359375
489.89301222848906,760.827392578125
494.74343809213747,762.7892456054688
499.5938639557859,764.7749633789062
504.4442898194343,766.1106567382812
509.2947156830827,767.3666381835938
514.1451415467311,768.5429077148438
518.9955674103795,769.2796020507812
523.8459932740279,769.827392578125
528.6964191376763,770.67041015625
533.5468450013248,771.80859375
538.3972708649732,773.9984130859375
543.2476967286216,776.4251708984375
548.09812259227,778.8533325195312
552.9485484559184,781.2525634765625
557.7989743195668,783.173095703125
562.6494001832151,784.930419921875
567.4998260468635,786.5243530273438
572.3502519105119,787.7876586914062
577.2006777741603,788.630859375
582.0511036378088,789.3763427734375
586.9015295014572,790.058837890625
591.7519553651056,790.9149780273438
596.602381228754,791.9119262695312
601.4528070924024,792.9930419921875
606.3032329560508,794.1583862304688
611.1536588196992,795.5770874023438
616.0040846833476,797.0858764648438
