Dystans (m),Wysokość (m)
6349.03242133978,1154.809814453125
6394.708913579634,1159.3798828125
6440.385405819489,1161.5029296875
6486.061898059344,1164.182006835938
6531.738390299198,1175.439819335938
6577.414882539053,1176.974731445312
6623.091374778907,1178.586547851562
6668.7678670187615,1182.1083984375
6714.444359258616,1184.339599609375
6760.120851498471,1198.945678710938
6805.797343738325,1189.899169921875
6851.4738359781795,1201.162963867188
6897.150328218035,1193.491333007812
6942.826820457889,1197.21484375
6988.503312697743,1189.5517578125
7034.179804937598,1176.5126953125
7079.856297177453,1162.29833984375
7125.532789417307,1159.71435546875
7171.209281657161,1151.75439453125
7216.885773897016,1157.501586914062
7262.562266136871,1162.226806640625
7308.238758376725,1182.32421875
7353.91525061658,1190.623657226562
7399.591742856434,1192.087524414062
7445.268235096289,1182.454833984375
7490.944727336143,1197.121948242188
7536.621219575998,1230.659301757812
7582.297711815852,1227.542358398438
7627.974204055707,1218.632934570312
7673.650696295562,1217.993408203125
7719.327188535416,1221.410522460938
7765.00368077527,1220.042236328125
7810.680173015125,1216.350952148438
7856.35666525498,1214.063598632812
7902.033157494834,1227.424438476562
7947.709649734688,1238.071166992188
7993.3861419745435,1221.026123046875
8039.062634214398,1205.594360351562
8084.739126454252,1195.011596679688
8130.415618694106,1190.859375
8176.0921109339615,1190.762573242188
8221.768603173816,1196.028564453125
8267.44509541367,1193.21240234375
8313.121587653524,1188.491088867188
8358.798079893379,1184.028564453125
8404.474572133235,1179.615478515625
8450.151064373089,1174.301391601562
8495.827556612943,1180.255859375
8541.504048852797,1182.09326171875
8587.180541092652,1176.317138671875
8632.857033332506,1175.153686523438
8678.53352557236,1171.134887695312
8724.210017812216,1154.293823242188
8769.88651005207,1145.798950195312
8815.563002291925,1125.696166992188
8861.23949453178,1112.480834960938
8906.915986771633,1122.023071289062
8952.592479011488,1099.2978515625
8998.268971251342,1066.212036132812
9043.945463491198,1027.832763671875
9089.621955731052,979.0869750976562
9135.298447970907,944.51171875
9180.97494021076,916.637939453125
9226.651432450615,886.7551879882812
9272.32792469047,866.15625
9318.004416930324,859.1390991210938
9363.68090917018,836.0184326171875
9409.357401410034,804.5784301757812
9455.033893649888,784.7227172851562
9500.710385889743,766.0687255859375
9546.386878129597,748.6484375
9592.063370369451,739.4761352539062
9637.739862609305,737.243408203125
9683.416354849162,736.8290405273438
9729.092847089016,737.029052734375
9774.76933932887,743.0812377929688
9820.445831568724,760.416259765625
9866.122323808579,785.1195068359375
9911.798816048433,806.9317016601562
9957.475308288289,835.2855224609375
10003.151800528143,820.888427734375
10048.828292767997,816.93896484375
10094.504785007852,836.3779296875
10140.181277247706,894.23828125
10185.85776948756,940.1317749023438
10231.534261727415,956.0189208984375
10277.21075396727,968.0259399414062
10322.887246207125,964.189208984375
10368.56373844698,975.4530029296875
10414.240230686833,989.6621704101562
10459.916722926688,1022.291870117188
10505.593215166542,1050.703735351562
10551.269707406396,1072.572509765625
10596.946199646252,1097.308227539062
10642.622691886107,1112.408081054688
10688.29918412596,1125.754638671875
10733.975676365815,1135.899780273438
10779.65216860567,1129.69189453125
10825.328660845524,1122.783325195312
10871.005153085378,1111.629028320312
10916.681645325234,1122.0302734375
10962.358137565088,1135.94287109375
11008.034629804943,1147.0517578125
11053.711122044797,1143.719848632812
11099.387614284651,1134.027465820312
11145.064106524505,1143.566528320312
11190.74059876436,1153.189086914062
11236.417091004216,1162.229736328125
11282.09358324407,1178.448608398438
11327.770075483924,1202.089477539062
11373.446567723779,1218.551391601562
11419.123059963633,1212.95849609375
11464.799552203487,1208.49072265625
11510.476044443341,1190.685791015625
11556.152536683197,1161.576904296875
11601.829028923052,1134.038452148438
11647.505521162906,1115.558349609375
11693.18201340276,1093.278076171875
11738.858505642615,1061.56396484375
11784.534997882469,1064.453491210938
11830.211490122323,1057.705200195312
11875.88798236218,1059.759521484375
11921.564474602033,1056.862915039062
11967.240966841888,1023.333740234375
12012.917459081742,986.2344360351562
12058.593951321596,959.7664184570312
12104.27044356145,928.5568237304688
12149.946935801305,1035.326782226562
12195.62342804116,1102.793823242188
12241.299920281015,1152.409423828125
12286.97641252087,1169.348999023438
12332.652904760724,1177.500732421875
12378.329397000578,1183.111206054688
12424.005889240432,1188.480224609375
12469.682381480286,1189.695922851562
12515.358873720143,1190.11279296875
12561.035365959997,1190.716186523438
12606.711858199851,1191.394287109375
12652.388350439705,1194.60546875
12698.06484267956,1200.843994140625
12743.741334919414,1217.691772460938
12789.417827159268,1236.519409179688
12835.094319399124,1259.477416992188
12880.770811638979,1283.820434570312
12926.447303878833,1283.89501953125
12972.123796118687,1279.181640625
13017.800288358541,1279.54296875
13063.476780598396,1275.508911132812
13109.15327283825,1280.379272460938
13154.829765078106,1300.501953125
13200.50625731796,1306.67431640625
13246.182749557815,1317.754028320312
13291.859241797669,1323.432373046875
13337.535734037523,1309.397094726562
13383.212226277377,1304.0634765625
13428.888718517232,1317.839599609375
13474.565210757088,1342.711669921875
13520.241702996942,1338.218139648438
13565.918195236796,1328.124145507812
13611.59468747665,1340.451538085938
13657.271179716505,1350.4677734375
13702.947671956359,1360.2080078125
13748.624164196215,1367.411376953125
13794.30065643607,1366.866821289062
13839.977148675924,1374.1318359375
13885.653640915778,1385.356201171875
13931.330133155632,1398.07080078125
13977.006625395486,1417.402099609375
14022.68311763534,1403.858032226562
14068.359609875197,1394.848510742188
14114.036102115051,1384.1767578125
14159.712594354905,1378.971069335938
14205.38908659476,1396.403076171875
14251.065578834614,1427.116455078125
14296.742071074468,1460.234008789062
14342.418563314322,1508.085327148438
14388.095055554179,1544.078491210938
14433.771547794033,1564.600341796875
14479.448040033887,1564.269653320312
14525.124532273741,1536.356689453125
14570.801024513596,1499.482788085938
14616.47751675345,1459.043701171875
14662.154008993304,1429.155639648438
14707.83050123316,1408.536499023438
14753.506993473015,1402.995727539062
14799.183485712869,1401.238159179688
14844.859977952723,1415.583374023438
14890.536470192577,1425.005004882812
14936.212962432432,1451.355712890625
14981.889454672286,1562.949829101562
15027.565946912142,1626.85791015625
15073.242439151996,1655.865844726562
15118.91893139185,1682.803100585938
15164.595423631705,1742.328369140625
15210.271915871559,1789.292602539062
15255.948408111413,1824.628051757812
15301.624900351268,1863.935791015625
15347.301392591124,1931.026611328125
15392.977884830978,1957.568725585938
15438.654377070832,1983.166748046875
15484.330869310686,2014.974365234375
15530.00736155054,2040.62939453125
15575.683853790395,2052.89990234375
15621.36034603025,2063.512451171875
15667.036838270105,2065.711181640625
15712.71333050996,2065.21923828125
15758.389822749814,2029.991821289062
15804.066314989668,2001.09130859375
15849.742807229522,1972.11962890625
15895.419299469377,1942.945190429688
15941.095791709231,1894.95751953125
15986.772283949087,1874.157836914062
16032.448776188941,1848.652587890625
16078.125268428796,1814.051391601562
16123.80176066865,1795.850952148438
16169.478252908504,1772.084106445312
16215.154745148358,1748.53125
16260.831237388213,1718.54296875
16306.507729628069,1681.064453125
16352.184221867923,1663.276000976562
16397.860714107777,1649.703247070312
16443.53720634763,1641.477661132812
16489.213698587486,1614.681884765625
16534.89019082734,1585.352172851562
16580.566683067194,1562.172607421875
16626.24317530705,1542.438842773438
16671.919667546903,1516.27392578125
16717.596159786757,1481.972290039062
16763.272652026615,1459.749633789062
16808.94914426647,1451.879760742188
16854.625636506324,1456.227661132812
16900.302128746178,1465.664916992188
16945.978620986032,1472.00634765625
16991.655113225886,1473.460815429688
17037.33160546574,1471.69140625
17083.008097705595,1476.832763671875
17128.68458994545,1504.223022460938
17174.361082185304,1531.050415039062
17220.037574425158,1549.927368164062
17265.714066665012,1583.499267578125
17311.390558904866,1650.501220703125
17357.06705114472,1700.606567382812
17402.74354338458,1735.806640625
17448.420035624433,1762.7685546875
17494.096527864287,1773.997192382812
17539.77302010414,1799.054565429688
17585.449512343996,1816.28369140625
17631.12600458385,1829.297607421875
17676.802496823704,1836.68896484375
17722.47898906356,1852.034545898438
17768.155481303413,1845.2001953125
17813.831973543267,1867.355346679688
17859.50846578312,1887.382568359375
17905.184958022975,1913.258422851562
17950.86145026283,1941.999755859375
17996.537942502684,1972.630004882812
18042.214434742542,2010.163208007812
18087.890926982396,2025.228393554688
18133.56741922225,2010.5576171875
18179.243911462105,2014.034912109375
18224.92040370196,2039.158813476562
18270.596895941813,2060.2646484375
18316.273388181668,2079.4814453125
18361.94988042152,2105.599853515625
18407.626372661376,2121.67431640625
18453.30286490123,2147.1650390625
18498.979357141085,2174.911376953125
18544.65584938094,2192.047607421875
18590.332341620793,2211.37646484375
18636.008833860647,2248.320556640625
18681.685326100505,2285.28125
18727.36181834036,2312.59912109375
18773.038310580214,2351.173095703125
18818.714802820068,2396.036376953125
18864.391295059922,2427.482666015625
18910.067787299777,2438.797119140625
18955.74427953963,2439.710693359375
19001.420771779485,2439.1435546875
19047.09726401934,2432.96044921875
19092.773756259194,2432.264892578125
19138.450248499048,2434.484375
19184.126740738902,2433.1953125
19229.803232978757,2429.693115234375
19275.47972521861,2422.284423828125
19321.15621745847,2403.65234375
19366.832709698323,2382.3857421875
19412.509201938177,2375.819091796875
19458.18569417803,2379.6103515625
19503.862186417886,2383.660400390625
19549.53867865774,2387.124267578125
19595.215170897594,2392.759765625
19640.89166313745,2398.656982421875
19686.568155377303,2402.92529296875
19732.244647617157,2414.780517578125
19777.92113985701,2431.470458984375
19823.597632096866,2434.01513671875
19869.27412433672,2433.27587890625
19914.950616576578,2427.836669921875
19960.627108816432,2420.72021484375
20006.303601056286,2417.214111328125
20051.98009329614,2419.6298828125
20097.656585535995,2424.207275390625
20143.33307777585,2424.19775390625
20189.009570015704,2423.351806640625
20234.686062255558,2422.462158203125
20280.362554495412,2425.212646484375
20326.039046735266,2423.23193359375
20371.71553897512,2418.389892578125
20417.392031214975,2413.746826171875
20463.06852345483,2411.2998046875
