Dystans (m),Wysokość (m)
0,6625.02734375
15.270572809613094,6621.19091796875
30.54114561922619,6618.478515625
45.811718428839285,6616.08251953125
61.08229123845238,6614.0029296875
76.35286404806547,6612.2392578125
91.62343685767857,6610.79248046875
106.89400966729166,6610.2158203125
122.16458247690476,6610.06494140625
137.43515528651784,6610.23046875
152.70572809613094,6610.71240234375
167.97630090574404,6611.51025390625
183.24687371535714,6612.625
198.51744652497024,6614.0556640625
213.7880193345833,6614.82177734375
229.0585921441964,6615.27392578125
244.3291649538095,6615.50048828125
259.5997377634226,6615.5009765625
274.8703105730357,6615.27587890625
290.1408833826488,6614.82421875
305.4114561922619,6614.39453125
320.682029001875,6614.17431640625
335.9526018114881,6614.0126953125
351.2231746211012,6613.85107421875
366.4937474307143,6613.68896484375
381.7643202403274,6613.52734375
397.0348930499405,6613.40234375
412.3054658595535,6613.388671875
427.5760386691666,6613.17919921875
442.8466114787797,6612.13818359375
458.1171842883928,6610.9169921875
473.3877570980059,6609.51513671875
488.658329907619,6607.92529296875
503.9289027172321,6606.212890625
519.1994755268452,6604.455078125
534.4700483364583,6602.6767578125
549.7406211460714,6601.02685546875
565.0111939556845,6599.421875
580.2817667652976,6597.8623046875
595.5523395749107,6596.5068359375
610.8229123845238,6595.19873046875
626.0934851941369,6593.93505859375
641.36405800375,6592.8056640625
656.6346308133631,6593.21435546875
671.9052036229762,6593.84912109375
687.1757764325893,6595.00830078125
702.4463492422024,6596.525390625
717.7169220518155,6598.3134765625
732.9874948614286,6600.373046875
748.2580676710417,6602.703125
763.5286404806548,6605.78076171875
778.7992132902679,6610.64501953125
794.069786099881,6616.99755859375
809.3403589094941,6623.7568359375
824.610931719107,6630.9228515625
839.8815045287201,6638.49560546875
855.1520773383332,6646.47509765625
870.4226501479463,6659.98486328125
885.6932229575594,6676.01708984375
900.9637957671725,6691.958984375
916.2343685767856,6707.81005859375
931.5049413863987,6723.5712890625
946.7755141960118,6739.24169921875
962.0460870056249,6754.7109375
977.316659815238,6767.3759765625
992.5872326248511,6779.8642578125
1007.8578054344642,6792.80419921875
1023.1283782440773,6806.19580078125
1038.3989510536903,6820.0400390625
1053.6695238633035,6834.33544921875
1068.9400966729165,6847.99755859375
1084.2106694825297,6861.11669921875
1099.4812422921427,6874.02587890625
1114.751815101756,6887.11572265625
1130.022387911369,6900.38623046875
1145.2929607209821,6913.83740234375
1160.5635335305951,6927.060546875
1175.8341063402083,6940.23095703125
1191.1046791498213,6953.04345703125
1206.3752519594345,6965.49658203125
1221.6458247690475,6978.0859375
1236.9163975786607,6990.81005859375
1252.1869703882737,7003.49072265625
1267.457543197887,7015.76318359375
1282.7281160075,7027.76416015625
1297.9986888171131,7039.33349609375
1313.2692616267261,7050.5244140625
1328.539834436339,7061.625
1343.8104072459523,7072.91064453125
1359.0809800555653,7085.66162109375
1374.3515528651785,7098.91015625
1389.6221256747915,7112.6552734375
1404.8926984844047,7127.02001953125
1420.1632712940177,7141.7294921875
1435.433844103631,7156.2578125
1450.704416913244,7169.07861328125
1465.9749897228571,7182.14306640625
1481.24556253247,7195.5244140625
1496.5161353420833,7209.2216796875
1511.7867081516963,7223.11376953125
1527.0572809613095,7236.61181640625
1542.3278537709225,7250.3369140625
1557.5984265805357,7264.26171875
1572.8689993901487,7278.322265625
1588.139572199762,7292.51806640625
1603.410145009375,7306.849609375
1618.6807178189881,7321.31396484375
1633.951290628601,7336.26708984375
1649.221863438214,7351.515625
1664.4924362478273,7366.67431640625
1679.7630090574403,7381.7421875
1695.0335818670535,7396.7197265625
1710.3041546766665,7411.60693359375
1725.5747274862797,7426.267578125
1740.8453002958927,7441.0986328125
1756.115873105506,7456.169921875
1771.3864459151189,7471.46728515625
1786.657018724732,7486.99072265625
1801.927591534345,7502.73974609375
1817.1981643439583,7518.81787109375
1832.4687371535713,7536.482421875
1847.7393099631845,7555.70263671875
1863.0098827727975,7574.68603515625
1878.2804555824107,7593.126953125
1893.5510283920237,7611.02587890625
1908.821601201637,7628.38232421875
1924.0921740112499,7648.88134765625
1939.362746820863,7668.98291015625
1954.633319630476,7688.20703125
1969.903892440089,7706.07666015625
1985.1744652497023,7722.455078125
2000.4450380593153,7737.341796875
2015.7156108689285,7751.03271484375
2030.9861836785415,7763.638671875
2046.2567564881547,7775.0244140625
2061.5273292977677,7790.45263671875
2076.7979021073807,7807.8251953125
2092.068474916994,7824.29345703125
2107.339047726607,7840.2333984375
2122.60962053622,7855.99169921875
2137.880193345833,7871.0263671875
2153.1507661554465,7885.33837890625
2168.4213389650595,7902.41748046875
2183.6919117746725,7923.0537109375
2198.9624845842854,7945.02490234375
2214.233057393899,7970.48291015625
2229.503630203512,7997.43212890625
2244.774203013125,8025.873046875
2260.044775822738,8055.8056640625
2275.3153486323513,8087.34326171875
2290.5859214419643,8119.978515625
2305.8564942515773,8154.66259765625
2321.1270670611902,8189.109375
2336.3976398708032,8223.1943359375
2351.6682126804167,8256.91796875
2366.9387854900297,8290.279296875
2382.2093582996426,8321.0712890625
2397.4799311092556,8345.998046875
2412.750503918869,8369.7333984375
2428.021076728482,8392.4296875
2443.291649538095,8414.0869140625
2458.562222347708,8434.7041015625
2473.8327951573215,8454.28125
2489.1033679669345,8474.203125
2504.3739407765474,8496.638671875
2519.6445135861604,8519.119140625
2534.915086395774,8541.6455078125
2550.185659205387,8564.216796875
2565.456232015,8586.833984375
2580.726804824613,8609.2841796875
2595.9973776342263,8631.26953125
2611.2679504438393,8653.5576171875
2626.5385232534522,8674.9873046875
2641.809096063065,8695.55859375
2657.079668872678,8715.2705078125
2672.3502416822917,8734.0830078125
2687.6208144919046,8751.0703125
2702.8913873015176,8767.2890625
2718.1619601111306,8767.705078125
2733.432532920744,8767.62890625
2748.703105730357,8767.236328125
2763.97367853997,8766.52734375
2779.244251349583,8763.763671875
2794.5148241591965,8760.73828125
2809.7853969688094,8757.89453125
2825.0559697784224,8752.5234375
2840.3265425880354,8746.62109375
2855.597115397649,8740.537109375
2870.867688207262,8732.9111328125
2886.138261016875,8725.453125
2901.408833826488,8719.44140625
2916.6794066361012,8714.876953125
2931.9499794457142,8712.1259765625
2947.220552255327,8709.6513671875
2962.49112506494,8704.7724609375
2977.761697874553,8696.5341796875
2993.0322706841666,8689.4716796875
3008.3028434937796,8683.583984375
3023.5734163033926,8678.87109375
3038.8439891130056,8673.55078125
3054.114561922619,8667.3076171875
3069.385134732232,8657.8935546875
3084.655707541845,8649.791015625
3099.926280351458,8642.9990234375
3115.1968531610714,8637.517578125
3130.4674259706844,8633.3466796875
3145.7379987802974,8627.865234375
3161.0085715899104,8617.0966796875
3176.279144399524,8607.255859375
3191.549717209137,8598.7255859375
3206.82029001875,8591.5068359375
3222.090862828363,8585.59765625
3237.3614356379762,8581
3252.632008447589,8570.572265625
3267.902581257202,8555.4931640625
3283.173154066815,8542.9462890625
3298.443726876428,8532.9287109375
3313.7142996860416,8525.443359375
3328.9848724956546,8520.4892578125
3344.2554453052676,8517.2109375
3359.5260181148806,8514.59375
3374.796590924494,8511.1669921875
3390.067163734107,8509.095703125
3405.33773654372,8508.380859375
3420.608309353333,8509.021484375
3435.8788821629464,8508.6611328125
3451.1494549725594,8503.6357421875
3466.4200277821724,8500.521484375
3481.6906005917854,8495.46875
3496.961173401399,8492.9013671875
3512.231746211012,8492.8203125
3527.502319020625,8494.982421875
3542.7728918302378,8489.0478515625
3558.043464639851,8485.146484375
3573.314037449464,8482.58984375
3588.584610259077,8476.4755859375
3603.85518306869,8472.2138671875
3619.125755878303,8469.8056640625
3634.3963286879166,8461.3701171875
3649.6669014975296,8453.1318359375
3664.9374743071426,8447.1083984375
3680.2080471167556,8443.2919921875
3695.478619926369,8437.0166015625
3710.749192735982,8433.408203125
3726.019765545595,8427.494140625
3741.290338355208,8420.01171875
3756.5609111648214,8414.4736328125
3771.8314839744344,8410.8779296875
3787.1020567840474,8409.2265625
3802.3726295936603,8404.8203125
3817.643202403274,8399.4814453125
3832.913775212887,8391.2236328125
3848.1843480224998,8385.3154296875
3863.4549208321127,8381.7578125
3878.725493641726,8380.5498046875
3893.996066451339,8381.6923828125
3909.266639260952,8378.08203125
3924.537212070565,8367.322265625
3939.807784880178,8360.2685546875
3955.0783576897916,8356.921875
3970.3489304994046,8357.28125
3985.6195033090175,8361.3466796875
4000.8900761186305,8369.1181640625
4016.160648928244,8367.5390625
4031.431221737857,8363.4736328125
4046.70179454747,8361.396484375
4061.972367357083,8361.3095703125
4077.2429401666964,8363.2099609375
4092.5135129763094,8367.099609375
4107.784085785923,8368.802734375
4123.054658595535,8366.787109375
4138.325231405149,8363.298828125
4153.595804214761,8361.5732421875
4168.866377024375,8361.611328125
4184.136949833988,8363.4111328125
4199.407522643601,8360.5966796875
4214.678095453214,8351.4931640625
4229.948668262828,8340.4599609375
4245.21924107244,8327.556640625
4260.489813882054,8316.640625
4275.760386691666,8307.71484375
4291.0309595012795,8300.2275390625
4306.301532310893,8292.611328125
4321.5721051205055,8286.44140625
4336.842677930119,8280.8369140625
4352.1132507397315,8275.255859375
4367.383823549345,8271.5283203125
4382.654396358958,8269.599609375
4397.924969168571,8264.7177734375
4413.195541978184,8260.78515625
4428.466114787798,8257.8017578125
4443.73668759741,8253.7783203125
4459.007260407024,8244.58203125
4474.277833216636,8237.103515625
4489.54840602625,8225.66796875
4504.818978835863,8213.75
4520.089551645476,8202.7802734375
4535.360124455089,8192.759765625
4550.630697264703,8183.67626953125
4565.901270074315,8176.412109375
4581.171842883929,8171.40966796875
4596.442415693541,8167.52587890625
4611.7129885031545,8164.72705078125
4626.983561312768,8163.0126953125
4642.2541341223805,8162.38330078125
4657.524706931994,8162.75634765625
4672.7952797416065,8154.95703125
4688.06585255122,8143.763671875
4703.336425360833,8132.34423828125
4718.606998170446,8120.69873046875
4733.877570980059,8108.8271484375
4749.148143789673,8096.72998046875
4764.418716599285,8084.9638671875
4779.689289408899,8074.736328125
4794.959862218511,8065.09375
4810.230435028125,8056.35498046875
4825.501007837738,8048.5205078125
4840.771580647351,8041.58984375
4856.042153456964,8035.5634765625
4871.312726266578,8030.322265625
4886.58329907619,8021.6435546875
4901.8538718858035,8012.4384765625
4917.124444695416,8003.77587890625
4932.3950175050295,7995.6552734375
4947.665590314643,7988.07763671875
4962.9361631242555,7980.64404296875
4978.206735933869,7973.90185546875
4993.477308743481,7963.4482421875
5008.747881553095,7951.60107421875
5024.018454362708,7940.52197265625
5039.289027172321,7930.21142578125
5054.559599981934,7920.9375
5069.830172791548,7912.6904296875
5085.10074560116,7905.12109375
5100.371318410774,7893.7890625
5115.641891220386,7878.5400390625
5130.91246403,7862.38671875
5146.183036839613,7845.87158203125
5161.453609649226,7832.29443359375
5176.724182458839,7821.11279296875
5191.9947552684525,7812.3271484375
5207.265328078065,7807.1962890625
5222.5359008876785,7803.83203125
5237.806473697291,7799.96142578125
5253.0770465069045,7794.837890625
5268.347619316518,7790.16650390625
5283.61819212613,7785.947265625
5298.888764935744,7782.18017578125
5314.159337745356,7779.404296875
5329.42991055497,7778.08837890625
5344.700483364583,7777.26708984375
5359.971056174196,7776.82861328125
5375.241628983809,7776.751953125
5390.512201793423,7777.037109375
5405.782774603035,7777.68408203125
5421.053347412649,7778.34716796875
5436.323920222261,7777.08447265625
5451.594493031875,7775.02880859375
5466.865065841488,7772.88232421875
5482.135638651101,7770.64599609375
5497.406211460714,7768.3193359375
5512.6767842703275,7765.90185546875
5527.94735707994,7762.705078125
5543.2179298895535,7756.55810546875
5558.488502699166,7750.275390625
5573.7590755087795,7743.857421875
5589.029648318393,7737.3037109375
5604.300221128005,7730.6142578125
5619.570793937619,7723.705078125
5634.841366747231,7716.10595703125
5650.111939556845,7708.1298828125
5665.382512366458,7699.927734375
5680.653085176071,7691.49951171875
5695.923657985684,7682.84521484375
5711.194230795298,7673.96484375
5726.46480360491,7661.677734375
5741.735376414524,7649.09765625
5757.005949224136,7636.04296875
5772.27652203375,7624.18310546875
5787.547094843363,7613.634765625
5802.817667652976,7604.3974609375
5818.088240462589,7596.2646484375
5833.3588132722025,7588.96533203125
5848.629386081815,7582.52490234375
5863.8999588914285,7576.56689453125
5879.170531701041,7571.208984375
5894.441104510654,7566.529296875
5909.711677320268,7559.8271484375
5924.98225012988,7550.40380859375
5940.252822939494,7541.47802734375
5955.523395749106,7533.048828125
5970.79396855872,7522.1474609375
5986.064541368333,7510.75634765625
6001.335114177946,7499.01416015625
6016.605686987559,7484.2431640625
6031.876259797173,7471.00927734375
6047.146832606785,7459.31201171875
6062.417405416399,7449.15185546875
6077.687978226011,7439.017578125
6092.958551035625,7428.97314453125
6108.229123845238,7415.46923828125
6123.499696654851,7403.0048828125
6138.770269464464,7391.580078125
6154.0408422740775,7381.19482421875
6169.31141508369,7371.849609375
6184.581987893303,7362.74267578125
6199.852560702916,7346.3173828125
6215.123133512529,7328.64111328125
6230.393706322143,7311.73291015625
6245.664279131755,7295.59326171875
6260.934851941369,7280.22216796875
6276.205424750981,7265.619140625
6291.475997560595,7252.93603515625
6306.746570370208,7242.7197265625
6322.017143179821,7233.22705078125
6337.287715989434,7224.45751953125
6352.558288799048,7216.4111328125
6367.82886160866,7209.08837890625
6383.099434418274,7200.62646484375
6398.370007227886,7189.04931640625
6413.6405800375,7178.36376953125
6428.911152847113,7168.58203125
6444.181725656726,7159.70458984375
6459.452298466339,7151.73095703125
6474.7228712759525,7144.29638671875
6489.993444085565,7134.908203125
6505.264016895178,7125.60400390625
6520.534589704791,7114.28857421875
6535.805162514404,7103.9228515625
6551.075735324018,7094.50634765625
6566.34630813363,7086.0390625
6581.616880943244,7077.24462890625
6596.887453752856,7068.61376953125
6612.15802656247,7060.21875
6627.428599372083,7050.44873046875
6642.699172181696,7041.31103515625
6657.969744991309,7032.806640625
6673.240317800923,7025.015625
6688.510890610535,7017.744140625
6703.781463420149,7010.92431640625
6719.052036229761,7004.556640625
6734.322609039375,6997.2685546875
6749.593181848988,6990.24951171875
6764.863754658601,6980.74853515625
6780.134327468214,6967.9677734375
6795.404900277827,6955.23193359375
6810.67547308744,6942.541015625
6825.946045897053,6929.89599609375
6841.216618706666,6918.21142578125
6856.487191516279,6907.8720703125
6871.757764325893,6898.65087890625
6887.028337135505,6889.88232421875
6902.298909945119,6881.5654296875
6917.569482754731,6873.70068359375
6932.840055564345,6866.2880859375
6948.110628373958,6860.99267578125
6963.381201183571,6858.64306640625
6978.651773993184,6856.7451171875
6993.922346802798,6855.29931640625
7009.19291961241,6854.3056640625
7024.463492422024,6853.76416015625
7039.734065231636,6853.67431640625
7055.00463804125,6848.8525390625
7070.275210850863,6841.36328125
7085.5457836604755,6834.77783203125
7100.816356470089,6829.0966796875
7116.086929279702,6824.3193359375
7131.357502089315,6820.4462890625
7146.628074898928,6816.92529296875
7161.898647708541,6810.8369140625
7177.169220518154,6802.1025390625
7192.439793327768,6794.27294921875
7207.71036613738,6787.3466796875
7222.980938946994,6781.3251953125
7238.251511756606,6775.23681640625
7253.52208456622,6768.41796875
7268.792657375833,6759.625
7284.063230185446,6745.68505859375
7299.333802995059,6732.0615234375
7314.604375804673,6718.75439453125
7329.874948614285,6706.05517578125
7345.145521423899,6695.681640625
7360.416094233511,6685.76025390625
